test,PKG,CPU,time
bubblesort,0.010986328,0.009155273,3.165
bubblesort,0.013183594,0.010925293,3.069
bubblesort,0.015197754,0.009399414,2.617
bubblesort,0.010559082,0.00958252,2.572
bubblesort,0.00994873,0.00994873,2.671
bubblesort,0.015380859,0.010009766,2.684
bubblesort,0.009887695,0.010253906,2.712
bubblesort,0.014648438,0.010070801,2.638
bubblesort,0.014343262,0.009765625,2.537
bubblesort,0.010009766,0.010009766,2.555
bubblesort,0.014465332,0.009399414,2.58
bubblesort,0.010192871,0.009643555,2.591
bubblesort,0.014404297,0.010375977,2.591
bubblesort,0.014892578,0.009399414,2.588
bubblesort,0.008789063,0.009643555,2.566
bubblesort,0.015380859,0.009521484,2.561
bubblesort,0.010253906,0.009765625,2.556
bubblesort,0.014709473,0.010131836,2.654
bubblesort,0.010253906,0.010681152,2.321
bubblesort,0.018493652,0.011901855,2.288
bubblesort,0.012878418,0.011474609,2.224
bubblesort,0.012939453,0.011413574,2.122
bubblesort,0.014282227,0.012573242,2.153
bubblesort,0.013916016,0.011962891,2.107
bubblesort,0.013305664,0.013244629,2.163
bubblesort,0.01385498,0.012023926,2.151
bubblesort,0.022033691,0.013427734,2.068
bubblesort,0.01385498,0.01171875,2.108
bubblesort,0.013183594,0.013427734,2.161
bubblesort,0.014526367,0.01348877,2.168
bubblesort,0.013122559,0.013122559,2.165
bubblesort_func,0.01763916,0.019104004,3.698
bubblesort_func,0.02545166,0.017456055,3.418
bubblesort_func,0.018920898,0.017211914,3.415
bubblesort_func,0.024658203,0.017150879,3.342
bubblesort_func,0.017150879,0.017211914,3.377
bubblesort_func,0.018493652,0.018676758,3.467
bubblesort_func,0.023925781,0.017089844,3.444
bubblesort_func,0.01739502,0.017944336,3.416
bubblesort_func,0.023681641,0.018371582,3.422
bubblesort_func,0.018005371,0.017822266,3.464
bubblesort_func,0.024963379,0.017883301,3.398
bubblesort_func,0.016967773,0.016967773,3.428
bubblesort_func,0.017700195,0.017456055,3.41
bubblesort_func,0.024353027,0.01739502,3.372
bubblesort_func,0.017700195,0.018249512,3.397
bubblesort_func,0.018493652,0.016662598,3.426
bubblesort_func,0.017333984,0.017272949,3.404
bubblesort_func,0.017944336,0.017578125,3.379
bubblesort_func,0.023376465,0.018249512,3.406
bubblesort_func,0.018981934,0.01776123,3.443
bubblesort_func,0.023986816,0.018737793,3.435
bubblesort_func,0.018981934,0.017883301,3.418
bubblesort_func,0.024841309,0.018615723,3.502
bubblesort_func,0.018310547,0.018615723,3.414
bubblesort_func,0.019104004,0.017333984,3.404
bubblesort_func,0.023864746,0.018066406,3.456
bubblesort_func,0.018371582,0.018371582,3.49
bubblesort_func,0.025268555,0.017578125,3.396
bubblesort_func,0.017700195,0.01739502,3.379
bubblesort_func,0.024047852,0.018371582,3.542
bubblesort_ll2,0.025939941,0.01776123,3.688
bubblesort_ll2,0.018981934,0.01940918,3.679
bubblesort_ll2,0.018127441,0.018127441,3.642
bubblesort_ll2,0.023803711,0.016296387,3.555
bubblesort_ll2,0.018127441,0.018554688,3.679
bubblesort_ll2,0.023864746,0.018615723,3.554
bubblesort_ll2,0.018554688,0.016723633,3.512
bubblesort_ll2,0.023742676,0.018615723,3.687
bubblesort_ll2,0.0234375,0.017272949,3.6
bubblesort_ll2,0.018493652,0.020324707,3.662
bubblesort_ll2,0.023803711,0.018005371,3.663
bubblesort_ll2,0.022583008,0.017822266,3.726
bubblesort_ll2,0.018432617,0.017456055,3.647
bubblesort_ll2,0.023071289,0.018005371,3.607
bubblesort_ll2,0.023254395,0.016540527,3.511
bubblesort_ll2,0.018127441,0.018310547,3.54
bubblesort_ll2,0.024719238,0.018920898,3.658
bubblesort_ll2,0.01739502,0.018249512,3.664
bubblesort_ll2,0.023376465,0.017822266,3.639
bubblesort_ll2,0.024963379,0.018066406,3.571
bubblesort_ll2,0.018005371,0.018554688,3.652
bubblesort_ll2,0.022949219,0.019104004,3.719
bubblesort_ll2,0.02331543,0.017883301,3.708
bubblesort_ll2,0.017456055,0.018005371,3.768
bubblesort_ll2,0.022399902,0.017700195,3.638
bubblesort_ll2,0.023010254,0.016113281,3.564
bubblesort_ll2,0.017822266,0.01940918,3.631
bubblesort_ll2,0.022766113,0.017578125,3.54
bubblesort_ll2,0.017578125,0.017883301,3.569
bubblesort_ll2,0.022766113,0.01739502,3.535
bubblesort_ll,0.013366699,0.014770508,2.622
bubblesort_ll,0.020874023,0.013793945,2.486
bubblesort_ll,0.013977051,0.014404297,2.441
bubblesort_ll,0.014282227,0.013366699,2.435
bubblesort_ll,0.019042969,0.013793945,2.401
bubblesort_ll,0.013549805,0.014709473,2.467
bubblesort_ll,0.020324707,0.012695313,2.348
bubblesort_ll,0.013427734,0.01550293,2.527
bubblesort_ll,0.020324707,0.01373291,2.403
bubblesort_ll,0.013000488,0.014038086,2.376
bubblesort_ll,0.013000488,0.013977051,2.537
bubblesort_ll,0.020507813,0.014587402,2.421
bubblesort_ll,0.014709473,0.014221191,2.385
bubblesort_ll,0.019470215,0.013671875,2.391
bubblesort_ll,0.013793945,0.014038086,2.408
bubblesort_ll,0.019775391,0.014282227,2.393
bubblesort_ll,0.01385498,0.014343262,2.412
bubblesort_ll,0.013916016,0.013061523,2.378
bubblesort_ll,0.020690918,0.01385498,2.389
bubblesort_ll,0.013000488,0.013183594,2.37
bubblesort_ll,0.014038086,0.013427734,2.401
bubblesort_ll,0.020568848,0.016174316,2.663
bubblesort_ll,0.014282227,0.013244629,2.363
bubblesort_ll,0.014160156,0.014221191,2.393
bubblesort_ll,0.013977051,0.013793945,2.458
bubblesort_ll,0.019226074,0.014282227,2.51
bubblesort_ll,0.014099121,0.014038086,2.534
bubblesort_ll,0.02142334,0.013549805,2.414
bubblesort_ll,0.013671875,0.014282227,2.378
bubblesort_ll,0.020629883,0.01361084,2.393
bubblesort,0.010742188,0.009155273,3.674
bubblesort,0.012451172,0.009277344,2.978
bubblesort,0.013061523,0.010131836,2.981
bubblesort,0.013244629,0.009338379,2.874
bubblesort,0.013244629,0.009643555,2.898
bubblesort,0.013183594,0.008666992,2.846
bubblesort,0.012573242,0.009155273,2.999
bubblesort,0.012084961,0.008972168,2.915
bubblesort,0.013366699,0.009521484,2.847
bubblesort,0.013305664,0.009216309,2.971
bubblesort,0.008178711,0.009094238,2.872
bubblesort,0.012756348,0.009094238,2.827
bubblesort,0.013366699,0.008911133,2.874
bubblesort,0.013244629,0.009155273,2.816
bubblesort,0.012695313,0.009338379,2.89
bubblesort,0.013000488,0.009521484,2.861
bubblesort,0.012878418,0.008911133,2.855
bubblesort,0.010253906,0.010925293,2.411
bubblesort,0.011413574,0.010498047,2.4
bubblesort,0.01159668,0.010620117,2.092
bubblesort,0.020080566,0.011474609,2.036
bubblesort,0.014831543,0.012756348,2.074
bubblesort,0.01373291,0.011535645,2.049
bubblesort,0.013671875,0.013916016,2.178
bubblesort,0.01361084,0.01159668,2.054
bubblesort,0.013977051,0.012084961,2.007
bubblesort,0.01348877,0.012634277,2.086
bubblesort,0.013305664,0.012329102,2.054
bubblesort,0.014587402,0.012878418,2.135
bubblesort,0.014038086,0.013000488,2.13
bubblesort_func,0.021057129,0.018676758,4.129
bubblesort_func,0.018005371,0.017089844,3.446
bubblesort_func,0.024108887,0.016662598,3.412
bubblesort_func,0.017333984,0.018554688,3.501
bubblesort_func,0.024291992,0.017150879,3.349
bubblesort_func,0.016906738,0.01751709,3.41
bubblesort_func,0.018127441,0.016967773,3.393
