Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Python, nbody, 50,408.832763671875000000, 321.076965332031250000,  ,  , 19468, 60.0, 49748
Python, nbody, 50,404.574584960937500000, 317.378417968750000000,  ,  , 19323, 59.8, 49544
Python, nbody, 50,408.227905273437500000, 320.930603027343750000,  ,  , 19386, 60.5, 49544
Python, nbody, 50,406.967834472656250000, 319.401611328125000000,  ,  , 19382, 61.2, 49764
Python, nbody, 50,406.223693847656250000, 318.977233886718750000,  ,  , 19375, 61.8, 49540
Python, nbody, 50,410.378601074218750000, 322.625305175781250000,  ,  , 19459, 65.8, 49760
Python, nbody, 50,409.711486816406250000, 321.973022460937500000,  ,  , 19469, 65.8, 49540
Python, nbody, 50,408.072509765625000000, 320.490905761718750000,  ,  , 19397, 61.8, 49508
Python, nbody, 50,406.214416503906250000, 319.283020019531250000,  ,  , 19319, 60.5, 49628
Python, nbody, 50,407.811950683593750000, 320.037170410156250000,  ,  , 19424, 61.5, 49488
