Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python38, 2to3, -1,699.167785644531250000, 631.980163574218750000,  ,  , 35371, 61.0, 46112
Python38, 2to3, -1,697.713928222656250000, 630.598876953125000000,  ,  , 35404, 62.0, 46492
Python38, 2to3, -1,697.604858398437500000, 630.561645507812500000,  ,  , 35381, 64.5, 46144
Python38, 2to3, -1,699.370727539062500000, 632.023315429687500000,  ,  , 35502, 63.2, 46264
Python38, 2to3, -1,696.938171386718750000, 630.270690917968750000,  ,  , 35290, 62.5, 46396
Python38, 2to3, -1,698.295166015625000000, 631.302551269531250000,  ,  , 35327, 63.0, 46200
Python38, 2to3, -1,696.214233398437500000, 628.759277343750000000,  ,  , 35495, 65.2, 46140
Python38, 2to3, -1,697.975158691406250000, 630.959960937500000000,  ,  , 35313, 61.8, 46352
Python38, 2to3, -1,697.486389160156250000, 630.590026855468750000,  ,  , 35329, 62.2, 46408
Python38, 2to3, -1,696.029174804687500000, 628.866699218750000000,  ,  , 35388, 62.8, 46156
Python310, 2to3, -1,666.428833007812500000, 602.007995605468750000,  ,  , 33818, 61.8, 46168
Python310, 2to3, -1,666.599853515625000000, 602.624084472656250000,  ,  , 33771, 61.8, 45868
Python310, 2to3, -1,666.128112792968750000, 601.992797851562500000,  ,  , 33768, 62.2, 46036
Python310, 2to3, -1,667.469299316406250000, 603.142700195312500000,  ,  , 33852, 62.0, 45864
Python310, 2to3, -1,665.257080078125000000, 601.068786621093750000,  ,  , 33800, 60.8, 46164
Python310, 2to3, -1,667.079101562500000000, 603.010437011718750000,  ,  , 33798, 61.8, 46040
Python310, 2to3, -1,667.761169433593750000, 603.756591796875000000,  ,  , 33707, 61.0, 46188
Python310, 2to3, -1,663.611633300781250000, 599.476989746093750000,  ,  , 33836, 64.2, 45932
Python310, 2to3, -1,667.760437011718750000, 603.541076660156250000,  ,  , 33800, 62.2, 45936
Python310, 2to3, -1,667.105285644531250000, 603.085266113281250000,  ,  , 33698, 62.2, 45932
Python311, 2to3, -1,544.147827148437500000, 491.294738769531250000,  ,  , 27766, 60.0, 49132
Python311, 2to3, -1,544.956359863281250000, 492.333374023437500000,  ,  , 27641, 61.0, 49476
Python311, 2to3, -1,544.422668457031250000, 491.676391601562500000,  ,  , 27686, 63.2, 49216
Python311, 2to3, -1,544.590698242187500000, 492.111145019531250000,  ,  , 27608, 61.2, 49452
Python311, 2to3, -1,543.724243164062500000, 491.244140625000000000,  ,  , 27616, 60.2, 49252
Python311, 2to3, -1,544.384338378906250000, 491.762878417968750000,  ,  , 27628, 62.0, 49216
Python311, 2to3, -1,544.369567871093750000, 491.882446289062500000,  ,  , 27605, 60.0, 49444
Python311, 2to3, -1,544.328063964843750000, 491.792358398437500000,  ,  , 27634, 61.2, 49076
Python311, 2to3, -1,543.805419921875000000, 491.217224121093750000,  ,  , 27660, 61.2, 49456
Python311, 2to3, -1,540.628051757812500000, 487.948730468750000000,  ,  , 27742, 63.5, 49152
Python38, async_generators, -1,805.368957519531250000, 725.173095703125000000,  ,  , 41881, 62.8, 46148
Python38, async_generators, -1,791.867248535156250000, 712.532897949218750000,  ,  , 41509, 63.2, 46280
Python38, async_generators, -1,798.205627441406250000, 718.539306640625000000,  ,  , 41684, 63.8, 46232
Python38, async_generators, -1,784.242309570312500000, 705.909790039062500000,  ,  , 40990, 63.8, 46228
Python38, async_generators, -1,802.855651855468750000, 723.213928222656250000,  ,  , 41618, 63.0, 46420
Python38, async_generators, -1,833.692382812500000000, 751.744506835937500000,  ,  , 43038, 63.5, 46228
Python38, async_generators, -1,798.881530761718750000, 720.116516113281250000,  ,  , 41256, 63.5, 46232
Python38, async_generators, -1,815.003295898437500000, 734.294921875000000000,  ,  , 42331, 63.2, 46196
Python38, async_generators, -1,779.147399902343750000, 703.948547363281250000,  ,  , 39655, 64.2, 46320
Python38, async_generators, -1,812.228820800781250000, 731.661560058593750000,  ,  , 42328, 68.0, 46500
Python310, async_generators, -1,726.286987304687500000, 653.919982910156250000,  ,  , 37881, 62.5, 46044
Python310, async_generators, -1,729.546508789062500000, 657.572875976562500000,  ,  , 37723, 62.5, 45988
Python310, async_generators, -1,733.368469238281250000, 662.085266113281250000,  ,  , 37537, 66.8, 45948
Python310, async_generators, -1,727.233398437500000000, 654.927734375000000000,  ,  , 37733, 61.8, 46156
Python310, async_generators, -1,724.394042968750000000, 652.004455566406250000,  ,  , 37707, 62.0, 46024
Python310, async_generators, -1,731.273864746093750000, 658.808959960937500000,  ,  , 37851, 62.2, 46024
Python310, async_generators, -1,727.206359863281250000, 654.107299804687500000,  ,  , 38138, 66.8, 45796
Python310, async_generators, -1,728.702270507812500000, 655.871032714843750000,  ,  , 38142, 67.0, 45956
Python310, async_generators, -1,729.937744140625000000, 657.552734375000000000,  ,  , 37946, 62.8, 45824
Python310, async_generators, -1,731.661499023437500000, 659.327697753906250000,  ,  , 37796, 62.8, 45868
Python311, async_generators, -1,588.128051757812500000, 529.707153320312500000,  ,  , 30629, 62.2, 49456
Python311, async_generators, -1,593.237060546875000000, 535.776672363281250000,  ,  , 30231, 67.0, 49216
Python311, async_generators, -1,597.615234375000000000, 540.963562011718750000,  ,  , 30021, 63.0, 49448
Python311, async_generators, -1,583.169494628906250000, 524.844970703125000000,  ,  , 30640, 62.8, 49448
Python311, async_generators, -1,592.563964843750000000, 535.246093750000000000,  ,  , 30146, 66.2, 49208
Python311, async_generators, -1,592.298400878906250000, 534.709106445312500000,  ,  , 30284, 62.2, 49196
Python311, async_generators, -1,588.061096191406250000, 529.893310546875000000,  ,  , 30638, 66.8, 49344
Python311, async_generators, -1,599.765625000000000000, 543.041564941406250000,  ,  , 30092, 67.0, 49224
Python311, async_generators, -1,581.364990234375000000, 523.071472167968750000,  ,  , 30615, 62.8, 49208
Python311, async_generators, -1,587.470947265625000000, 529.547363281250000000,  ,  , 30433, 66.8, 49200
Python38, async_tree, -1,1172.647766113281250000, 1040.645935058593750000,  ,  , 63716, 67.8, 102728
Python38, async_tree, -1,1173.757263183593750000, 1042.687805175781250000,  ,  , 63660, 63.5, 102504
Python38, async_tree, -1,1181.470703125000000000, 1047.182739257812500000,  ,  , 64151, 68.0, 102636
Python38, async_tree, -1,1174.905883789062500000, 1043.839843750000000000,  ,  , 63617, 63.8, 102880
Python38, async_tree, -1,1174.720153808593750000, 1042.783264160156250000,  ,  , 63822, 63.2, 103080
Python38, async_tree, -1,1179.788574218750000000, 1048.337646484375000000,  ,  , 63703, 63.2, 102632
Python38, async_tree, -1,1173.732971191406250000, 1041.407409667968750000,  ,  , 63794, 63.2, 102808
Python38, async_tree, -1,1173.706848144531250000, 1041.853576660156250000,  ,  , 63781, 67.8, 102876
Python38, async_tree, -1,1173.938171386718750000, 1042.832275390625000000,  ,  , 63618, 63.0, 102992
Python38, async_tree, -1,1173.526611328125000000, 1042.675109863281250000,  ,  , 63479, 63.5, 102664
Python310, async_tree, -1,1143.720520019531250000, 1013.493957519531250000,  ,  , 62405, 62.8, 104356
Python310, async_tree, -1,1145.892333984375000000, 1015.317749023437500000,  ,  , 62561, 67.5, 104360
Python310, async_tree, -1,1143.663635253906250000, 1013.087036132812500000,  ,  , 62570, 62.8, 104344
Python310, async_tree, -1,1152.288940429687500000, 1021.661437988281250000,  ,  , 62744, 67.5, 104344
Python310, async_tree, -1,1150.787597656250000000, 1019.586303710937500000,  ,  , 62890, 62.2, 104232
Python310, async_tree, -1,1146.850646972656250000, 1016.020690917968750000,  ,  , 62696, 63.2, 104152
Python310, async_tree, -1,1141.862365722656250000, 1011.344238281250000000,  ,  , 62508, 63.0, 104204
Python310, async_tree, -1,1149.599853515625000000, 1019.619323730468750000,  ,  , 62676, 62.2, 104204
Python310, async_tree, -1,1145.150024414062500000, 1014.389099121093750000,  ,  , 62601, 63.0, 104336
Python310, async_tree, -1,1146.267761230468750000, 1015.356933593750000000,  ,  , 62746, 61.8, 104232
Python311, async_tree, -1,879.400512695312500000, 779.014953613281250000,  ,  , 47777, 61.5, 89564
Python311, async_tree, -1,879.346069335937500000, 778.788696289062500000,  ,  , 47816, 61.0, 89356
Python311, async_tree, -1,877.599853515625000000, 777.279724121093750000,  ,  , 47723, 62.8, 89524
Python311, async_tree, -1,878.724426269531250000, 779.291503906250000000,  ,  , 47640, 67.2, 89412
Python311, async_tree, -1,881.012695312500000000, 780.827392578125000000,  ,  , 47777, 67.2, 89132
Python311, async_tree, -1,880.012451171875000000, 780.657775878906250000,  ,  , 47618, 62.2, 89496
Python311, async_tree, -1,881.246765136718750000, 781.062255859375000000,  ,  , 47781, 62.0, 89564
Python311, async_tree, -1,880.123840332031250000, 780.773498535156250000,  ,  , 47631, 61.5, 89476
Python311, async_tree, -1,878.571105957031250000, 778.507690429687500000,  ,  , 47691, 62.2, 89488
Python311, async_tree, -1,881.293884277343750000, 781.645202636718750000,  ,  , 47725, 67.5, 89784
Python38, async_tree_cpu_io_mixed, -1,1599.465942382812500000, 1422.947448730468750000,  ,  , 86776, 62.8, 103128
Python38, async_tree_cpu_io_mixed, -1,1594.714538574218750000, 1418.843872070312500000,  ,  , 86373, 62.2, 103208
Python38, async_tree_cpu_io_mixed, -1,1599.996704101562500000, 1424.549621582031250000,  ,  , 86537, 62.5, 103024
Python38, async_tree_cpu_io_mixed, -1,1597.118957519531250000, 1421.551452636718750000,  ,  , 86299, 62.8, 103164
Python38, async_tree_cpu_io_mixed, -1,1592.353637695312500000, 1415.129760742187500000,  ,  , 86814, 63.0, 103168
Python38, async_tree_cpu_io_mixed, -1,1595.855407714843750000, 1420.445434570312500000,  ,  , 86421, 62.0, 103196
Python38, async_tree_cpu_io_mixed, -1,1600.746093750000000000, 1425.977111816406250000,  ,  , 86295, 63.2, 103128
Python38, async_tree_cpu_io_mixed, -1,1595.224182128906250000, 1419.913879394531250000,  ,  , 86372, 63.0, 103204
