Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python38, 2to3, 10,449.415893554687500000, 365.363281250000000000,  ,  , 45127, 47.5, 47920
Python38, 2to3, 10,446.908142089843750000, 363.374328613281250000,  ,  , 44882, 47.5, 47644
Python38, 2to3, 10,446.553405761718750000, 363.050537109375000000,  ,  , 44853, 48.5, 47576
Python38, 2to3, 10,446.628906250000000000, 363.112365722656250000,  ,  , 44852, 47.5, 47916
Python38, 2to3, 10,446.976257324218750000, 363.397338867187500000,  ,  , 44873, 47.5, 47552
Python38, 2to3, 10,446.643310546875000000, 363.119628906250000000,  ,  , 44846, 47.0, 47740
Python38, 2to3, 10,446.395080566406250000, 362.858337402343750000,  ,  , 44832, 47.0, 47784
Python38, 2to3, 10,445.621398925781250000, 362.276855468750000000,  ,  , 44775, 48.5, 47680
Python38, 2to3, 10,446.433410644531250000, 362.955810546875000000,  ,  , 44816, 47.8, 47576
Python38, 2to3, 10,446.377197265625000000, 362.903381347656250000,  ,  , 44800, 47.5, 47736
Python310, 2to3, 10,425.404541015625000000, 345.774230957031250000,  ,  , 42719, 46.5, 47232
Python310, 2to3, 10,425.872924804687500000, 346.083251953125000000,  ,  , 42789, 46.5, 47248
Python310, 2to3, 10,425.422607421875000000, 345.795043945312500000,  ,  , 42702, 46.5, 47164
Python310, 2to3, 10,425.636230468750000000, 345.951904296875000000,  ,  , 42743, 46.2, 47456
Python310, 2to3, 10,425.010437011718750000, 345.500183105468750000,  ,  , 42658, 46.2, 47212
Python310, 2to3, 10,425.729919433593750000, 346.004394531250000000,  ,  , 42741, 45.8, 47368
Python310, 2to3, 10,425.658630371093750000, 345.958862304687500000,  ,  , 42726, 47.2, 47284
Python310, 2to3, 10,425.601379394531250000, 345.806884765625000000,  ,  , 42742, 48.0, 47316
Python310, 2to3, 10,425.754211425781250000, 346.114196777343750000,  ,  , 42734, 47.8, 47232
Python310, 2to3, 10,425.197082519531250000, 345.619812011718750000,  ,  , 42690, 46.0, 47480
Python311, 2to3, 10,348.101318359375000000, 282.827331542968750000,  ,  , 34954, 46.8, 50340
Python311, 2to3, 10,347.862487792968750000, 282.622802734375000000,  ,  , 34942, 45.8, 50244
Python311, 2to3, 10,347.797363281250000000, 282.530334472656250000,  ,  , 34952, 47.5, 50352
Python311, 2to3, 10,347.825439453125000000, 282.614074707031250000,  ,  , 34924, 47.5, 50116
Python311, 2to3, 10,347.971069335937500000, 282.662841796875000000,  ,  , 34967, 45.8, 50256
Python311, 2to3, 10,348.230102539062500000, 282.930664062500000000,  ,  , 34969, 47.8, 50352
Python311, 2to3, 10,347.783508300781250000, 282.601867675781250000,  ,  , 34925, 47.2, 50288
Python311, 2to3, 10,347.764648437500000000, 282.553466796875000000,  ,  , 34936, 45.2, 50168
Python311, 2to3, 10,347.639587402343750000, 282.412048339843750000,  ,  , 34932, 46.8, 50292
Python311, 2to3, 10,348.050476074218750000, 282.751159667968750000,  ,  , 34940, 47.2, 50360
Python38, async_generators, 10,481.790405273437500000, 390.946228027343750000,  ,  , 48376, 50.0, 47744
Python38, async_generators, 10,481.227050781250000000, 390.684631347656250000,  ,  , 48310, 47.2, 47908
Python38, async_generators, 10,479.721374511718750000, 389.447204589843750000,  ,  , 48156, 46.0, 47436
Python38, async_generators, 10,481.496337890625000000, 390.843200683593750000,  ,  , 48336, 50.0, 47704
Python38, async_generators, 10,480.961181640625000000, 390.492736816406250000,  ,  , 48274, 46.8, 47544
Python38, async_generators, 10,481.054748535156250000, 390.796875000000000000,  ,  , 48282, 46.8, 47788
Python38, async_generators, 10,481.452392578125000000, 390.639709472656250000,  ,  , 48331, 47.2, 47700
Python38, async_generators, 10,482.230895996093750000, 391.722412109375000000,  ,  , 48398, 46.5, 47640
Python38, async_generators, 10,481.161254882812500000, 390.542602539062500000,  ,  , 48292, 46.5, 47548
Python38, async_generators, 10,480.438232421875000000, 390.105346679687500000,  ,  , 48225, 49.8, 47572
Python310, async_generators, 10,469.417114257812500000, 380.880615234375000000,  ,  , 47132, 46.8, 47472
Python310, async_generators, 10,470.049499511718750000, 381.471984863281250000,  ,  , 47172, 46.0, 47248
Python310, async_generators, 10,470.239501953125000000, 381.733581542968750000,  ,  , 47194, 46.5, 47468
Python310, async_generators, 10,470.378417968750000000, 381.763916015625000000,  ,  , 47208, 47.0, 47456
Python310, async_generators, 10,469.699951171875000000, 381.490905761718750000,  ,  , 47153, 46.5, 47328
Python310, async_generators, 10,471.249816894531250000, 382.450927734375000000,  ,  , 47297, 47.0, 47268
Python310, async_generators, 10,470.338989257812500000, 381.881896972656250000,  ,  , 47219, 49.2, 47256
Python310, async_generators, 10,470.416137695312500000, 381.794799804687500000,  ,  , 47213, 47.2, 47340
Python310, async_generators, 10,471.411132812500000000, 382.584655761718750000,  ,  , 47315, 49.5, 47348
Python310, async_generators, 10,471.163208007812500000, 382.436767578125000000,  ,  , 47301, 49.8, 47340
Python311, async_generators, 10,380.037780761718750000, 308.960144042968750000,  ,  , 38142, 49.5, 50200
Python311, async_generators, 10,381.999450683593750000, 310.593627929687500000,  ,  , 38336, 46.2, 50172
Python311, async_generators, 10,380.845520019531250000, 309.617736816406250000,  ,  , 38224, 47.0, 50116
Python311, async_generators, 10,382.251464843750000000, 310.598388671875000000,  ,  , 38365, 46.5, 50200
Python311, async_generators, 10,382.550231933593750000, 311.010620117187500000,  ,  , 38406, 49.2, 50064
Python311, async_generators, 10,380.960510253906250000, 309.872070312500000000,  ,  , 38233, 46.0, 50464
Python311, async_generators, 10,381.696655273437500000, 310.163085937500000000,  ,  , 38331, 47.0, 50156
Python311, async_generators, 10,381.777954101562500000, 310.372497558593750000,  ,  , 38321, 49.5, 50336
Python311, async_generators, 10,381.174560546875000000, 310.070373535156250000,  ,  , 38256, 46.2, 50344
Python311, async_generators, 10,380.286865234375000000, 309.112121582031250000,  ,  , 38172, 49.2, 50052
Python38, async_tree, 10,762.300048828125000000, 608.031616210937500000,  ,  , 76521, 47.0, 103072
Python38, async_tree, 10,762.821044921875000000, 608.320129394531250000,  ,  , 76563, 49.5, 102956
Python38, async_tree, 10,764.387268066406250000, 609.401000976562500000,  ,  , 76736, 47.5, 102948
Python38, async_tree, 10,765.396423339843750000, 610.222290039062500000,  ,  , 76817, 46.5, 102964
Python38, async_tree, 10,763.718872070312500000, 609.506164550781250000,  ,  , 76652, 46.5, 103120
